metric,value
AurocScoreAttack,0.3254901960784314
AurocScorePrompt,0.9778481012658228
AurocScoreSfive,0.2810897435897436
BandF1,0.0
BandFisherP,1.0
BandFprSafe,0.0
BandTprAttack,0.0
BandTprSfive,0.0
BaseTr,Qwen/Qwen2.5-0.5B-Instruct
BaseZs,qwen2.5-1.5b-instruct
BinFprBenignTr,0.05
BinFprBenignZs,0.0
BinFprDocTr,0.875
BinFprDocZs,0.875
BinFprLegitTr,0.625
BinFprLegitZs,0.125
BinFprTmplTr,0.25
BinFprTmplZs,0.25
BinFprTr,0.35
BinFprZs,0.225
BinTprDecTr,0.9285714285714286
BinTprDecZs,0.6428571428571429
BinTprEncTr,1.0
BinTprEncZs,1.0
BinTprHiTr,0.9965303967465577
BinTprHiZs,0.9183087411197867
BinTprImpTr,1.0
BinTprImpZs,1.0
BinTprIndTr,1.0
BinTprIndZs,0.9
BinTprLoTr,0.8969519232441061
BinTprLoZs,0.7198929160164018
BinTprRpTr,1.0
BinTprRpZs,0.75
BinTprSfiveTr,0.9743589743589743
BinTprSfiveZs,0.8461538461538461
BinTprSsixTr,1.0
BinTprSsixZs,0.8333333333333334
BinTprTr,0.9803921568627451
BinTprZs,0.8431372549019608
CarrierMaxDirectScore,14
CarrierMaxNodeScore,33
CatInflationSfiveTr,0.0
CatInflationSfiveZs,0.10256410256410253
CatTprDecTr,0.9285714285714286
CatTprDecZs,0.42857142857142855
CatTprEncTr,1.0
CatTprEncZs,0.25
CatTprImpTr,1.0
CatTprImpZs,0.8666666666666667
CatTprIndTr,0.9
CatTprIndZs,0.8
CatTprRpTr,1.0
CatTprRpZs,0.75
CatTprSfiveStrictTr,0.9487179487179487
CatTprSfiveStrictZs,0.5897435897435898
CatTprSfiveTr,0.9487179487179487
CatTprSfiveZs,0.6923076923076923
CatTprSsixStrictTr,0.0
CatTprSsixStrictZs,0.0
CatTprSsixTr,0.0
CatTprSsixZs,0.0
DefF1,0.6526315789473683
DefF1Delta,0.23287849252761522
DefFprBenign,0.0
DefFprDoc,1.0
DefFprLegit,0.125
DefFprSafe,0.325
DefFprTmpl,1.0
DefGainedAttack,14
DefGainedFp,0
DefLiftDec,0.5714285714285714
DefLiftImp,0.0
DefLiftInd,0.6000000000000001
DefLostAttack,0
DefTprAttack,0.6078431372549019
DefTprDec,0.7857142857142857
DefTprImp,0.4666666666666667
DefTprInd,0.9
DegenAttackTr,0.0
DegenAttackZs,0.0784313725490196
DegenTr,0.0
DegenZs,0.04395604395604396
ExactSfiveTr,0.9487179487179487
ExactSfiveZs,0.5641025641025641
ExactSsixTr,0.0
ExactSsixZs,0.0
ExplainContraTr,nan
ExplainContraZs,0.019230769230769232
ExplainCoverageTr,0.0
ExplainCoverageZs,1.0
ExplainMismatchTr,nan
ExplainMismatchZs,0.1346153846153846
ExplainUnsoundTr,nan
ExplainUnsoundZs,0.15384615384615385
ExtAurocLength,0.7925595238095238
ExtAurocScore,0.6297619047619047
ExtAurocScoreLong,0.5227272727272727
ExtAurocScoreShort,0.5625
ExtBandFpr,0.0
ExtBandTpr,0.016666666666666666
ExtBenignFisherP,0.0018883152610404295
ExtBinFprTr,0.75
ExtBinFprZs,0.44642857142857145
ExtBinTprTr,0.9166666666666666
ExtBinTprZs,0.7166666666666667
ExtFlagFpr,0.0
ExtFlagTpr,0.1
ExtMeanLenBenign,74.16071428571429
ExtMeanLenInjection,172.56666666666666
ExtMedianLen,73.5
ExtScoreLenP,8.0728372554781035e-16
ExtScoreLenRho,0.6596871420631866
ExternalSourceListTr,deepset
ExternalSourceListZs,none
Fires_few_shot_markers,0
Fires_framework_construct,0
Fires_length_multiline,1
Fires_linguistic_phrase,28
Fires_md_heading,0
Fires_prompt_var_name,0
Fires_role_message,0
Fires_structural_corroboration,0
Fires_template_placeholder,4
Fires_yaml_key,0
FlagF1,0.4197530864197531
FlagFisherP,0.5570827197012576
FlagFprSafe,0.325
FlagOdds,1.0384615384615385
FlagOnlyMiss,0.5490196078431373
FlagPrec,0.5666666666666667
FlagTprAttack,0.3333333333333333
FlagTprDec,0.21428571428571427
FlagTprEnc,0.25
FlagTprImp,0.4666666666666667
FlagTprInd,0.3
FlagTprRp,0.375
FlagTprSfive,0.3333333333333333
FlagTprSsix,0.3333333333333333
GuardFlagAgree,0.6043956043956044
GuardPairAgree,0.8461538461538461
InertSignalList,"role message, framework construct, prompt var name, yaml key, md heading, structural corroboration, few shot markers"
InvertedTagList,"directive, placeholder"
KipFprDoc,1.0
KipFprSafe,0.225
KipShareDoc,0.8888888888888888
KipTprSfive,0.3333333333333333
KipTprSsix,0.3333333333333333
LegitFisherP,0.11888111888111888
MaxScoreAttack,8
MaxScoreSafe,14
MdlFprTmpl,1.0
MeanScoreDec,0.2857142857142857
MeanScoreImp,1.0666666666666667
MeanScoreInd,0.0
MeanScoreNotPrompt,1.1139240506329113
MeanScorePrompt,8.666666666666666
MeanScoreSafe,3.5
MeanScoreSfive,0.5128205128205128
MeanScoreSsix,2.6666666666666665
MeanSentPerProbe,1.2197802197802199
NAttack,51
NBandedAttack,0
NBandedSafe,0
NBenign,20
NBestAtZero,3
NBinFpTr,14
NBinFpZs,9
NBinFprBenignTr,1
NBinFprBenignZs,0
NBinFprDocTr,7
NBinFprDocZs,7
NBinFprLegitTr,5
NBinFprLegitZs,1
NBinFprTmplTr,1
NBinFprTmplZs,1
NBinTprDecTr,13
NBinTprDecZs,9
NBinTprEncTr,4
NBinTprEncZs,4
NBinTprImpTr,15
NBinTprImpZs,15
NBinTprIndTr,10
NBinTprIndZs,9
NBinTprRpTr,8
NBinTprRpZs,6
NCarrierCells,455
NCarrierNodes,1
NCarrierNodesAttack,0
NCarriers,5
NDec,14
NDefFpSafe,13
NDefFprBenign,0
NDefFprDoc,8
NDefFprLegit,1
NDefFprTmpl,4
NDefTprDec,11
NDefTprImp,7
NDefTprInd,9
NDegenTr,0
NDegenZs,4
NDoc,8
NEnc,4
NExplainContraTr,0
NExplainContraZs,1
NExplainEmptyTr,91
NExplainEmptyZs,0
NExplainMalformedTr,0
NExplainMalformedZs,1
NExplainMismatchTr,0
NExplainMismatchZs,7
NExplainScoredTr,0
NExplainScoredZs,52
NExplainUnsoundTr,0
NExplainUnsoundZs,8
NExtBenign,56
NExtBinFpTr,42
NExtBinFpZs,25
NExtInjection,60
NExtLong,58
NExtRows,116
NExtShort,58
NExternalRowsTr,60
NExternalRowsZs,0
NExternalSourcesTr,1
NExternalSourcesZs,0
NFlagAttack,17
NFlagDec,3
NFlagEnc,1
NFlagImp,7
NFlagInd,3
NFlagOnlyMiss,28
NFlagRp,3
NFlagSafe,13
NFlatAboveZero,3
NGuardCalls,546
NGuardLogRows,546
NGuardModels,2
NGuardPairDisagree,14
NHardNeg,20
NIdentifiableSignals,3
NImp,15
NInd,10
NKipDoc,8
NKipSafe,9
NLegit,8
NLegitFpTr,5
NLegitFpZs,1
NMdlAttack,0
NMdlSafe,4
NNodesFound,0
NProbes,91
NPromptShaped,12
NRepeats,3
NRp,8
NSafe,40
NSearchCells,91000
NSearchConfigs,1000
NSentFpSafe,9
NSentProbes,91
NSentences,111
NSfive,39
NSignalsFiring,3
NSignalsInert,7
NSignalsTotal,10
NSsix,12
NSweepCells,14560
NSyntheticRowsTr,360
NSyntheticRowsZs,0
NTagsInverted,2
NTagsSeen,7
NTagsSignificant,3
NTestSplitTr,42
NTestSplitZs,0
NTmpl,4
NTrainSafeTr,96
NTrainSafeZs,0
NTrainSfiveTr,100
NTrainSfiveZs,0
NTrainSplitTr,378
NTrainSplitZs,0
NTrainSsixTr,40
NTrainSsixZs,0
NTrainTotalTr,420
NTrainTotalZs,0
NUnidentifiableSignals,7
NUnstableTr,0
NUnstableZs,0
NodeMaxScore,0
PhrasingFisherPTr,0.4827586206896552
PhrasingFisherPZs,0.01685823754789272
ProbeAurocLength,0.6242647058823529
ProbeMeanLenAttack,72.80392156862744
ProbeMeanLenBenign,63.075
ReportedFOneTr,1.0
ReportedFOneZs,nan
SearchBestAuroc,0.45
SearchBestConfigId,15
SearchBestF1,0.7183098591549296
SearchBestFOneNonTrivial,0.275
SearchMeanAuroc,0.3256600490196033
SearchMeanF1,0.7183098591549398
SearchMinAuroc,0.32254901960784316
SearchNAboveHalf,0
SearchShareAboveHalf,0.0
SearchTrivialF1,0.7183098591549296
SentFprDoc,1.0
SentFprSafe,0.225
SentRateBenign,0.0
SentRateDec,0.21428571428571427
SentRateImp,0.4666666666666667
SentRateInd,0.3
SentRateLegit,0.125
SentTprAttack,0.3333333333333333
SfiveAsSsixTr,0.0
SfiveAsSsixZs,0.0
SsixAsSfiveTr,1.0
SsixAsSfiveZs,0.5833333333333334
StableTr,1.0
StableZs,1.0
SweepBestAurocAny,0.45
SweepBestAuroc_few_shot_markers,0.3254901960784314
SweepBestAuroc_framework_construct,0.3254901960784314
SweepBestAuroc_length_multiline,0.3264705882352941
SweepBestAuroc_linguistic_phrase,0.45
SweepBestAuroc_md_heading,0.3254901960784314
SweepBestAuroc_prompt_var_name,0.3254901960784314
SweepBestAuroc_role_message,0.3254901960784314
SweepBestAuroc_structural_corroboration,0.3254901960784314
SweepBestAuroc_template_placeholder,0.3686274509803922
SweepBestAuroc_yaml_key,0.3254901960784314
SweepMaxSpan,0.12598039215686274
SweepSpanAboveZero,0.002941176470588225
SweepSpan_few_shot_markers,0.0
SweepSpan_framework_construct,0.0
SweepSpan_length_multiline,0.0009803921568627416
SweepSpan_linguistic_phrase,0.12598039215686274
SweepSpan_md_heading,0.0
SweepSpan_prompt_var_name,0.0
SweepSpan_role_message,0.0
SweepSpan_structural_corroboration,0.0
SweepSpan_template_placeholder,0.04607843137254902
SweepSpan_yaml_key,0.0
TagAtkConstraint,0.09803921568627451
TagAtkDirective,0.11764705882352941
TagAtkInjectionPhrase,0.3333333333333333
TagAtkNeutral,0.6078431372549019
TagAtkOutputFormat,0.0
TagAtkPlaceholder,0.0
TagAtkRoleAssertion,0.058823529411764705
TagBenConstraint,0.1
TagBenDirective,0.35
TagBenInjectionPhrase,0.225
TagBenNeutral,0.35
TagBenOutputFormat,0.05
TagBenPlaceholder,0.1
TagBenRoleAssertion,0.1
TagPConstraint,1.0
TagPDirective,0.010710783550327736
TagPInjectionPhrase,0.3503510275601983
TagPNeutral,0.020166262652482274
TagPOutputFormat,0.19047619047619047
TagPPlaceholder,0.03419427014932633
TagPRoleAssertion,0.6949573767645003
ThreshBestF1,0.7183098591549296
ThreshBestFOneNonTrivial,0.26506024096385544
ThreshBestFpr,1.0
ThreshBestFprNonTrivial,0.525
ThreshBestNf,0
ThreshBestNfNonTrivial,1
ThreshBestTpr,1.0
ThreshBestTprNonTrivial,0.21568627450980393
